test	num_na	corr_pearson	corr_spearman	sim	rep	rd	mode
ROSACE_effects	385	0.8194315385853889	0.7714639250896833	sim6	rep1	rd3	nopos
ROSACENP_effects	385	0.6056222142053193	0.6922372118768899	sim6	rep1	rd3	nopos
SLR_effects	385	0.8040059686005557	0.7653709177064424	sim6	rep1	rd3	nopos
EDGER_effects	0	0.7759227454923685	0.7504867930741821	sim6	rep1	rd3	nopos
LIMMA_effects	0	0.7767566722466481	0.7618730475480314	sim6	rep1	rd3	nopos
DIMSUM_effects	900	0.4875658216694416	0.4523195059727352	sim6	rep1	rd3	nopos
ENRICH2_effects	0	0.732138234429398	0.679348470790636	sim7	rep1	rd3	nopos
ROSACE_effects	375	0.8156140783030625	0.7862601583139457	sim7	rep1	rd3	nopos
ROSACENP_effects	375	0.6160318483351618	0.7124631457199196	sim7	rep1	rd3	nopos
SLR_effects	375	0.7968131506036857	0.7791774590169013	sim7	rep1	rd3	nopos
EDGER_effects	0	0.7712672707267735	0.7574306518562169	sim7	rep1	rd3	nopos
LIMMA_effects	0	0.7742508609493914	0.7713652408895437	sim7	rep1	rd3	nopos
DIMSUM_effects	928	0.4722028934859584	0.4437458285950125	sim7	rep1	rd3	nopos
ENRICH2_effects	0	0.7356903299496994	0.6788341097928722	sim8	rep1	rd3	nopos
ROSACE_effects	369	0.8204676215898966	0.7819123634423745	sim8	rep1	rd3	nopos
ROSACENP_effects	369	0.6126537126109808	0.708934473523833	sim8	rep1	rd3	nopos
SLR_effects	369	0.8020925570175719	0.7765535547719902	sim8	rep1	rd3	nopos
EDGER_effects	0	0.7776103613282431	0.7551297408778437	sim8	rep1	rd3	nopos
LIMMA_effects	0	0.7772357619747242	0.766518394433863	sim8	rep1	rd3	nopos
DIMSUM_effects	918	0.4623706179482121	0.4328934567939752	sim8	rep1	rd3	nopos
ENRICH2_effects	0	0.7378589837577794	0.6883224871710288	sim9	rep1	rd3	nopos
ROSACE_effects	407	0.8178233111525041	0.7801721886304789	sim9	rep1	rd3	nopos
ROSACENP_effects	407	0.599141954634358	0.6948363061747411	sim9	rep1	rd3	nopos
SLR_effects	407	0.7970661583997267	0.7705114773205465	sim9	rep1	rd3	nopos
EDGER_effects	0	0.7714824945168073	0.7510173327847952	sim9	rep1	rd3	nopos
LIMMA_effects	0	0.7692156293564139	0.7636608170501705	sim9	rep1	rd3	nopos
DIMSUM_effects	946	0.4808963831492285	0.44920529170144546	sim9	rep1	rd3	nopos
ENRICH2_effects	0	0.8745587052945152	0.838980912268683	sim1	rep3	rd1	nopos
ROSACE_effects	37	0.8907830755219734	0.8398089518152089	sim1	rep3	rd1	nopos
ROSACENP_effects	37	0.8483367320088067	0.8283476939752601	sim1	rep3	rd1	nopos
SLR_effects	37	0.8874670882762825	0.8391856328831445	sim1	rep3	rd1	nopos
EDGER_effects	0	0.89156533278195	0.8395125090907497	sim1	rep3	rd1	nopos
LIMMA_effects	0	0.8629766306568589	0.8356794729851654	sim1	rep3	rd1	nopos
DIMSUM_effects	1470	0.7277582617299959	0.5888345680515203	sim1	rep3	rd1	nopos
ENRICH2_effects	0	0.8748739992990936	0.8348210068978854	sim10	rep3	rd1	nopos
ROSACE_effects	21	0.8879420899146282	0.8352041931306674	sim10	rep3	rd1	nopos
ROSACENP_effects	21	0.8476070943932585	0.8241424038863492	sim10	rep3	rd1	nopos
SLR_effects	21	0.8853613114677712	0.8360092637269465	sim10	rep3	rd1	nopos
EDGER_effects	0	0.8938236691590972	0.8346450784680554	sim10	rep3	rd1	nopos
LIMMA_effects	0	0.8636734196188974	0.8309462086296406	sim10	rep3	rd1	nopos
DIMSUM_effects	1441	0.7299967245139827	0.5718775094846357	sim10	rep3	rd1	nopos
ENRICH2_effects	0	0.876893902168743	0.8353818971956102	sim2	rep3	rd1	nopos
ROSACE_effects	21	0.8871486063612464	0.8335024630448425	sim2	rep3	rd1	nopos
ROSACENP_effects	21	0.8431629734549746	0.8230601189152617	sim2	rep3	rd1	nopos
SLR_effects	21	0.8835020453969067	0.8336381398379068	sim2	rep3	rd1	nopos
EDGER_effects	0	0.8914807428466316	0.8323581924222221	sim2	rep3	rd1	nopos
LIMMA_effects	0	0.865871750410173	0.8325590199465589	sim2	rep3	rd1	nopos
DIMSUM_effects	1449	0.710576707048037	0.5572272047791446	sim2	rep3	rd1	nopos
ENRICH2_effects	0	0.8776939518134942	0.8341608053581462	sim3	rep3	rd1	nopos
ROSACE_effects	25	0.8876560218490119	0.8330435439368866	sim3	rep3	rd1	nopos
ROSACENP_effects	25	0.8427733733628503	0.8219528816333017	sim3	rep3	rd1	nopos
SLR_effects	25	0.884055090032095	0.8325126956081199	sim3	rep3	rd1	nopos
EDGER_effects	0	0.8923555040791701	0.8343062087015362	sim3	rep3	rd1	nopos
LIMMA_effects	0	0.8676728791577292	0.832185132459341	sim3	rep3	rd1	nopos
DIMSUM_effects	1466	0.7059969034639526	0.5657620314010071	sim3	rep3	rd1	nopos
ENRICH2_effects	0	0.873948376938904	0.8388578954239898	sim4	rep3	rd1	nopos
ROSACE_effects	25	0.884925286258901	0.8376603240301138	sim4	rep3	rd1	nopos
ROSACENP_effects	25	0.8469045644459613	0.8276119461045341	sim4	rep3	rd1	nopos
SLR_effects	25	0.8817829577459608	0.8366363415247078	sim4	rep3	rd1	nopos
EDGER_effects	0	0.8894054307282836	0.8380406845838491	sim4	rep3	rd1	nopos
LIMMA_effects	0	0.8631068924624583	0.8366520939877596	sim4	rep3	rd1	nopos
DIMSUM_effects	1397	0.7336040635011386	0.6019248700515346	sim4	rep3	rd1	nopos
ENRICH2_effects	0	0.868163431084483	0.8426071738353925	sim5	rep3	rd1	nopos
ROSACE_effects	26	0.8839684080719163	0.8433941495781472	sim5	rep3	rd1	nopos
ROSACENP_effects	26	0.8523179529872588	0.8351342983796353	sim5	rep3	rd1	nopos
SLR_effects	26	0.8796024595868174	0.8430545000985474	sim5	rep3	rd1	nopos
EDGER_effects	0	0.8861766985739362	0.8414827537039812	sim5	rep3	rd1	nopos
LIMMA_effects	0	0.8560537557722239	0.8390325906779692	sim5	rep3	rd1	nopos
DIMSUM_effects	1545	0.7229316450771158	0.5657852781912384	sim5	rep3	rd1	nopos
