test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim6	rep1	rd1
ENRICH2_tests	0.14252835771823114	0.04874239684366267	0.291303633075785	0.5174256123623212	0	0.6714664645699129	0.7451654490760636	0.01	sim6	rep1	rd1
DIMSUM_tests	0.14261055400295908	0.04866020055893474	0.29278316620088773	0.5156994903830346	2.4658885418379087e-4	0.6724561072305079	0.745595186935969	0.01	sim6	rep1	rd1
ROSACE_tests	0.07348347854676969	0.11778727601512412	0.1134308729245438	0.6952983725135624	0	0.6068601583113457	0.3841856467554792	0.05	sim6	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim6	rep1	rd1
ENRICH2_tests	0.15691270754561895	0.03435804701627486	0.3910899227354924	0.41763932270261384	0	0.7136643167841609	0.8203695745595186	0.05	sim6	rep1	rd1
DIMSUM_tests	0.15691270754561895	0.03435804701627486	0.3919118855827717	0.4165707710011507	2.4658885418379087e-4	0.7140931556088064	0.8203695745595186	0.05	sim6	rep1	rd1
ROSACE_tests	0	0.2045865526878185	0	0.7954134473121814	0	NA	0	0	sim7	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim7	rep1	rd1
ENRICH2_tests	0	0.2045865526878185	0	0.7954134473121814	0	NA	0	0	sim7	rep1	rd1
DIMSUM_tests	0	0.2045043564030906	0	0.7954134473121814	8.21962847279303e-5	NA	0	0	sim7	rep1	rd1
ROSACE_tests	0.02457668913365116	0.18000986355416734	0.03131678448134144	0.7640966628308401	0	0.5602941176470588	0.12012856568903174	0.005	sim7	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim7	rep1	rd1
ENRICH2_tests	0.14022686174584909	0.06435969094196942	0.24782179845470984	0.5475916488574717	0	0.6386358822283414	0.6854158296504621	0.005	sim7	rep1	rd1
DIMSUM_tests	0.14014466546112117	0.06435969094196942	0.24913693901035672	0.5462765083018247	8.21962847279303e-5	0.6399915540540541	0.6852893890675241	0.005	sim7	rep1	rd1
ROSACE_tests	0.03296071017590005	0.17162584251191845	0.04413940489889857	0.7512740424132829	0	0.5724946695095949	0.16110887906789875	0.01	sim7	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim7	rep1	rd1
ENRICH2_tests	0.1459806016768042	0.0586059510110143	0.27979615321387474	0.5156172940983068	0	0.6571428571428571	0.7135395741261551	0.01	sim7	rep1	rd1
