model	rank	TP	FN	FP	TN	NAR	FDR	Power	Sensitivity	sim
ROSACE	0.094	0.452318460192476	0	0.5476815398075241	0	0	0.5476815398075241	1	0.20788098110172895	sim1
ROSACE	0.095	0.4528138528138528	0	0.5471861471861472	0	0	0.5471861471861472	1	0.21029352633695217	sim1
ROSACE	0.096	0.4541559554413025	0	0.5458440445586975	0	0	0.5458440445586975	1	0.2131081624447125	sim1
ROSACE	0.097	0.4533898305084746	0	0.5466101694915254	0	0	0.5466101694915254	1	0.21511861680739847	sim1
ROSACE	0.098	0.4538590604026846	0	0.5461409395973155	0	0	0.5461409395973155	1	0.21753116204262163	sim1
ROSACE	0.099	0.4543189368770764	0	0.5456810631229236	0	0	0.5456810631229236	1	0.2199437072778448	sim1
ROSACE	0.1	0.453125	0	0.546875	0	0	0.546875	1	0.2215520707679936	sim1
ROSACE	0.101	0.4543973941368078	0	0.5456026058631922	0	0	0.5456026058631922	1	0.2243667068757539	sim1
ROSACE	0.102	0.45403225806451614	0	0.5459677419354839	0	0	0.5459677419354839	1	0.2263771612384399	sim1
ROSACE	0.103	0.45251396648044695	0	0.547486033519553	0	0	0.547486033519553	1	0.22798552472858863	sim1
ROSACE	0.104	0.4505928853754941	0	0.549407114624506	0	0	0.549407114624506	1	0.22919179734620024	sim1
ROSACE	0.105	0.4502740798747064	0	0.5497259201252936	0	0	0.5497259201252936	1	0.2312022517088862	sim1
ROSACE	0.106	0.45073700543056633	0	0.5492629945694336	0	0	0.5492629945694336	1	0.23361479694410936	sim1
ROSACE	0.107	0.4496541122213682	0	0.5503458877786318	0	0	0.5503458877786318	1	0.23522316043425817	sim1
ROSACE	0.108	0.44782939832444785	0	0.5521706016755522	0	0	0.5521706016755522	1	0.23642943305186973	sim1
ROSACE	0.109	0.44720965309200605	0	0.552790346907994	0	0	0.552790346907994	1	0.23843988741455568	sim1
ROSACE	0.11	0.4469357249626308	0	0.5530642750373692	0	0	0.5530642750373692	1	0.24045034177724164	sim1
ROSACE	0.111	0.4459259259259259	0	0.554074074074074	0	0	0.554074074074074	1	0.24205870526739043	sim1
ROSACE	0.112	0.44493392070484583	0	0.5550660792951542	0	0	0.5550660792951542	1	0.2436670687575392	sim1
ROSACE	0.113	0.4468704512372635	0	0.5531295487627366	0	0	0.5531295487627366	1	0.24688379573783675	sim1
ROSACE	0.114	0.4466089466089466	0	0.5533910533910534	0	0	0.5533910533910534	1	0.2488942501005227	sim1
ROSACE	0.115	0.4453180843459614	0	0.5546819156540386	0	0	0.5546819156540386	1	0.2505026135906715	sim1
ROSACE	0.116	0.44294826364280654	0	0.5570517363571935	0	0	0.5570517363571935	1	0.2513067953357459	sim1
ROSACE	0.117	0.44202389318341534	0	0.5579761068165847	0	0	0.5579761068165847	1	0.25291515882589466	sim1
ROSACE	0.118	0.4411149825783972	0	0.5588850174216028	0	0	0.5588850174216028	1	0.2545235223160434	sim1
ROSACE	0.119	0.4409122322045611	0	0.5590877677954388	0	0	0.5590877677954388	1	0.2565339766787294	sim1
ROSACE	0.12	0.44002741603838247	0	0.5599725839616175	0	0	0.5599725839616175	1	0.25814234016887816	sim1
ROSACE	0.121	0.43953804347826086	0	0.5604619565217391	0	0	0.5604619565217391	1	0.26015279453156415	sim1
ROSACE	0.122	0.4393530997304582	0	0.5606469002695418	0	0	0.5606469002695418	1	0.2621632488942501	sim1
ROSACE	0.123	0.4411764705882353	0	0.5588235294117647	0	0	0.5588235294117647	1	0.26537997587454765	sim1
ROSACE	0.124	0.44297082228116713	0	0.5570291777188329	0	0	0.5570291777188329	1	0.2685967028548452	sim1
ROSACE	0.125	0.44342105263157894	0	0.5565789473684211	0	0	0.5565789473684211	1	0.2710092480900684	sim1
ROSACE	0.126	0.4425587467362924	0	0.5574412532637075	0	0	0.5574412532637075	1	0.27261761158021713	sim1
ROSACE	0.127	0.44207119741100326	0	0.5579288025889968	0	0	0.5579288025889968	1	0.2746280659429031	sim1
ROSACE	0.128	0.4405908798972383	0	0.5594091201027617	0	0	0.5594091201027617	1	0.2758343385605147	sim1
ROSACE	0.129	0.4410452517527088	0	0.5589547482472913	0	0	0.5589547482472913	1	0.2782468837957378	sim1
ROSACE	0.13	0.439595192915876	0	0.560404807084124	0	0	0.560404807084124	1	0.2794531564133494	sim1
ROSACE	0.131	0.4394224733207784	0	0.5605775266792216	0	0	0.5605775266792216	1	0.2814636107760354	sim1
ROSACE	0.132	0.43987538940809967	0	0.5601246105919003	0	0	0.5601246105919003	1	0.28387615601125854	sim1
ROSACE	0.133	0.4400494437577256	0	0.5599505562422744	0	0	0.5599505562422744	1	0.2862887012464817	sim1
ROSACE	0.134	0.44171779141104295	0	0.558282208588957	0	0	0.558282208588957	1	0.28950542822677927	sim1
ROSACE	0.135	0.4415347137637028	0	0.5584652862362972	0	0	0.5584652862362972	1	0.2915158825894652	sim1
ROSACE	0.136	0.44014510278113667	0	0.5598548972188634	0	0	0.5598548972188634	1	0.2927221552070768	sim1
ROSACE	0.137	0.4411764705882353	0	0.5588235294117647	0	0	0.5588235294117647	1	0.2955367913148372	sim1
ROSACE	0.138	0.43921334922526817	0	0.5607866507747318	0	0	0.5607866507747318	1	0.29634097305991153	sim1
ROSACE	0.139	0.43997634535777647	0	0.5600236546422236	0	0	0.5600236546422236	1	0.2991556091676719	sim1
ROSACE	0.14	0.4392248972401644	0	0.5607751027598356	0	0	0.5607751027598356	1	0.3007639726578207	sim1
