model	rank	TP	FN	FP	TN	NAR	FDR	Power	Sensitivity	sim
ROSACE	0.057	0.5510204081632653	0	0.4489795918367347	0	0	0.4489795918367347	1	0.13695652173913042	sim1
ROSACE	0.058	0.5472779369627507	0	0.45272206303724927	0	0	0.45272206303724927	1	0.13840579710144926	sim1
ROSACE	0.059	0.5464788732394367	0	0.4535211267605634	0	0	0.4535211267605634	1	0.14057971014492754	sim1
ROSACE	0.06	0.5457063711911357	0	0.45429362880886426	0	0	0.45429362880886426	1	0.1427536231884058	sim1
ROSACE	0.061	0.5422343324250681	0	0.45776566757493187	0	0	0.45776566757493187	1	0.14420289855072463	sim1
ROSACE	0.062	0.5442359249329759	0	0.45576407506702415	0	0	0.45576407506702415	1	0.1471014492753623	sim1
ROSACE	0.063	0.5382585751978892	0	0.4617414248021108	0	0	0.4617414248021108	1	0.14782608695652175	sim1
ROSACE	0.064	0.5324675324675324	0	0.4675324675324675	0	0	0.4675324675324675	1	0.14855072463768115	sim1
ROSACE	0.065	0.5319693094629157	0	0.4680306905370844	0	0	0.4680306905370844	1	0.15072463768115943	sim1
ROSACE	0.066	0.5314861460957179	0	0.4685138539042822	0	0	0.4685138539042822	1	0.15289855072463768	sim1
ROSACE	0.067	0.5285359801488834	0	0.47146401985111663	0	0	0.47146401985111663	1	0.15434782608695652	sim1
ROSACE	0.068	0.5232273838630807	0	0.4767726161369193	0	0	0.4767726161369193	1	0.15507246376811595	sim1
ROSACE	0.069	0.5204819277108433	0	0.4795180722891566	0	0	0.4795180722891566	1	0.1565217391304348	sim1
ROSACE	0.07	0.5273159144893111	0	0.47268408551068886	0	0	0.47268408551068886	1	0.1608695652173913	sim1
ROSACE	0.071	0.522248243559719	0	0.477751756440281	0	0	0.477751756440281	1	0.16159420289855073	sim1
ROSACE	0.072	0.5196304849884527	0	0.48036951501154734	0	0	0.48036951501154734	1	0.16304347826086957	sim1
ROSACE	0.073	0.5170842824601367	0	0.48291571753986334	0	0	0.48291571753986334	1	0.1644927536231884	sim1
ROSACE	0.074	0.5146067415730337	0	0.4853932584269663	0	0	0.4853932584269663	1	0.16594202898550725	sim1
ROSACE	0.075	0.5154867256637168	0	0.4845132743362832	0	0	0.4845132743362832	1	0.16884057971014493	sim1
ROSACE	0.076	0.5152838427947598	0	0.4847161572052402	0	0	0.4847161572052402	1	0.17101449275362318	sim1
ROSACE	0.077	0.5107758620689655	0	0.4892241379310345	0	0	0.4892241379310345	1	0.17173913043478262	sim1
ROSACE	0.078	0.5127659574468085	0	0.4872340425531914	0	0	0.4872340425531914	1	0.1746376811594203	sim1
ROSACE	0.079	0.5147058823529411	0	0.4852941176470588	0	0	0.4852941176470588	1	0.17753623188405798	sim1
ROSACE	0.08	0.5124481327800829	0	0.487551867219917	0	0	0.487551867219917	1	0.17898550724637682	sim1
ROSACE	0.081	0.5102459016393442	0	0.48975409836065575	0	0	0.48975409836065575	1	0.1804347826086957	sim1
ROSACE	0.082	0.5080971659919028	0	0.49190283400809715	0	0	0.49190283400809715	1	0.18188405797101448	sim1
ROSACE	0.083	0.504	0	0.496	0	0	0.496	1	0.1826086956521739	sim1
ROSACE	0.084	0.5019762845849802	0	0.4980237154150198	0	0	0.4980237154150198	1	0.18405797101449275	sim1
ROSACE	0.085	0.501953125	0	0.498046875	0	0	0.498046875	1	0.186231884057971	sim1
ROSACE	0.086	0.5019305019305019	0	0.4980694980694981	0	0	0.4980694980694981	1	0.18840579710144928	sim1
ROSACE	0.087	0.49809160305343514	0	0.5019083969465649	0	0	0.5019083969465649	1	0.1891304347826087	sim1
ROSACE	0.088	0.49433962264150944	0	0.5056603773584906	0	0	0.5056603773584906	1	0.18985507246376812	sim1
