test	num_na	corr_pearson	corr_spearman	sim	rep	rd
SLR_effects	0	0.6659893472236597	0.6220853717085078	sim4	rep3	rd1
ENRICH2_effects	0	0.6710728724017627	0.6241457317320265	sim4	rep3	rd1
DIMSUM_effects	0	0.6778520225407674	0.6275964280902318	sim4	rep3	rd1
EDGER_effects	0	0.6821944789187748	0.6296032738290591	sim4	rep3	rd1
LIMMA_effects	0	0.6659763152950473	0.6221614748367064	sim4	rep3	rd1
ROSACE_effects	0	0.769134536224888	0.6548488477310307	sim5	rep3	rd1
SLR_effects	0	0.6588586620121571	0.6100317997892196	sim5	rep3	rd1
ENRICH2_effects	0	0.6649261887413888	0.612675417309083	sim5	rep3	rd1
DIMSUM_effects	0	0.6718121053289207	0.6152235538872343	sim5	rep3	rd1
EDGER_effects	0	0.6756904323431344	0.617257535992004	sim5	rep3	rd1
LIMMA_effects	0	0.6588842104784173	0.6100376354707923	sim5	rep3	rd1
ROSACE_effects	0	0.7465347668159522	0.6378367104626667	sim6	rep3	rd1
SLR_effects	0	0.6348831175318543	0.5912297117936843	sim6	rep3	rd1
ENRICH2_effects	0	0.6422550727331813	0.594140499653755	sim6	rep3	rd1
DIMSUM_effects	0	0.6530236810721638	0.5980172888590666	sim6	rep3	rd1
EDGER_effects	0	0.6579719954122952	0.6006209133706144	sim6	rep3	rd1
LIMMA_effects	0	0.6349440917170845	0.5912933804385163	sim6	rep3	rd1
ROSACE_effects	0	0.7656914828028163	0.6582547536910066	sim7	rep3	rd1
SLR_effects	0	0.6557070333813417	0.6112926292986942	sim7	rep3	rd1
ENRICH2_effects	0	0.6613086318530377	0.6137962880315768	sim7	rep3	rd1
DIMSUM_effects	0	0.6698982756723071	0.617976789004626	sim7	rep3	rd1
EDGER_effects	0	0.6736302778962094	0.6200260855268662	sim7	rep3	rd1
LIMMA_effects	0	0.6556960035878753	0.6112919065273736	sim7	rep3	rd1
ROSACE_effects	0	0.769059937833166	0.6616448089123401	sim8	rep3	rd1
SLR_effects	0	0.6580299544817035	0.6144093826556629	sim8	rep3	rd1
