test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd
ENRICH2_tests	0.10718395528522112	0.06715436462271905	0.08038796646391583	0.745273713628144	0	0.42857142857142855	0.6148043375766148	0.05	sim3	rep3	rd1
DIMSUM_tests	0.08663488410323854	0.08770343580470162	0.00295906625020549	0.8227026138418544	0	0.03302752293577981	0.496935407826497	0.05	sim3	rep3	rd1
EDGER_tests	0	0.17433831990794016	0	0.8256616800920599	0	NA	0	0.05	sim3	rep3	rd1
LIMMA_tests	0	0.17433831990794016	0	0.8256616800920599	0	NA	0	0.05	sim3	rep3	rd1
ROSACE_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0	sim4	rep3	rd1
SLR_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0	sim4	rep3	rd1
ENRICH2_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0	sim4	rep3	rd1
DIMSUM_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0	sim4	rep3	rd1
EDGER_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0	sim4	rep3	rd1
LIMMA_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0	sim4	rep3	rd1
ROSACE_tests	0.1112115732368897	0.08556633240177544	0.0043564030905803	0.7988656912707546	0	0.03769559032716927	0.5651629072681704	0.005	sim4	rep3	rd1
SLR_tests	0.00378102909748479	0.1929968765411803	0.00172612197928653	0.8014959723820483	0	0.3134328358208955	0.01921470342522974	0.005	sim4	rep3	rd1
ENRICH2_tests	0.08227848101265822	0.1144994246260069	0.0433996383363472	0.7598224560249877	0	0.34532374100719426	0.41812865497076024	0.005	sim4	rep3	rd1
DIMSUM_tests	0.02983725135623869	0.16694065428242644	8.21962847279303e-5	0.8031398980766069	0	0.00274725274725274	0.15162907268170425	0.005	sim4	rep3	rd1
EDGER_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0.005	sim4	rep3	rd1
LIMMA_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0.005	sim4	rep3	rd1
ROSACE_tests	0.13036330757849746	0.06641459806016768	0.00854841361170475	0.7946736807496301	0	0.06153846153846153	0.6624895572263992	0.01	sim4	rep3	rd1
SLR_tests	0.0054249547920434	0.19135295084662177	0.00295906625020549	0.8002630281111294	0	0.3529411764705882	0.02756892230576441	0.01	sim4	rep3	rd1
ENRICH2_tests	0.09000493177708367	0.10677297386158144	0.05203024823277988	0.7511918461285549	0	0.3663194444444445	0.4573934837092732	0.01	sim4	rep3	rd1
DIMSUM_tests	0.04742725628801578	0.14935064935064934	2.4658885418379087e-4	0.802975505507151	0	0.00517241379310344	0.2410192147034252	0.01	sim4	rep3	rd1
EDGER_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0.01	sim4	rep3	rd1
LIMMA_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0.01	sim4	rep3	rd1
ROSACE_tests	0.16915995397008057	0.02761795166858458	0.03764589840539208	0.7655761959559428	0	0.18203497615262323	0.8596491228070176	0.05	sim4	rep3	rd1
SLR_tests	0.02079566003616636	0.17598224560249875	0.01265822784810126	0.7905638665132336	0	0.37837837837837834	0.10568086883876358	0.05	sim4	rep3	rd1
ENRICH2_tests	0.1126089100772645	0.08416899556140063	0.08400460299194476	0.7192174913693901	0	0.427257525083612	0.5722639933166248	0.05	sim4	rep3	rd1
DIMSUM_tests	0.09082689462436298	0.10595101101430215	0.00221929968765411	0.8010027946736807	0	0.02385159010600706	0.4615705931495405	0.05	sim4	rep3	rd1
EDGER_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0.05	sim4	rep3	rd1
LIMMA_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0.05	sim4	rep3	rd1
ROSACE_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim5	rep3	rd1
