test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd
ROSACE_tests	0.16990210718433715	0.0856147336983574	0.05392400862784138	0.690559150489464	0	0.2409191994069681	0.6649350649350649	0.05	sim3	rep3	rd1
SLR_tests	0.00447984071677451	0.25103700016592	0.00331840053094408	0.7411647585863613	0	0.425531914893617	0.01753246753246753	0.05	sim3	rep3	rd1
ENRICH2_tests	0.06587025053924009	0.1896465903434545	0.0821304131408661	0.6623527459764393	0	0.554932735426009	0.2577922077922078	0.05	sim3	rep3	rd1
DIMSUM_tests	0	0.25435540069686413	0	0.7444831591173054	0.00116144018583042	NA	0	0.05	sim3	rep3	rd1
EDGER_tests	0	0.25551684088269455	0	0.7444831591173054	0	NA	0	0.05	sim3	rep3	rd1
LIMMA_tests	0	0.25551684088269455	0	0.7444831591173054	0	NA	0	0.05	sim3	rep3	rd1
ROSACE_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0	sim4	rep3	rd1
SLR_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0	sim4	rep3	rd1
ENRICH2_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0	sim4	rep3	rd1
DIMSUM_tests	0	0.23743155798904927	0	0.760411481665837	0.00215696034511365	NA	0	0	sim4	rep3	rd1
EDGER_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0	sim4	rep3	rd1
LIMMA_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0	sim4	rep3	rd1
ROSACE_tests	0.11382113821138212	0.125103700016592	0.01012112161937946	0.7509540401526464	0	0.08165997322623829	0.47638888888888886	0.005	sim4	rep3	rd1
SLR_tests	3.318400530944085e-4	0.2385929981748797	3.318400530944085e-4	0.7607433217189314	0	0.5	0.00138888888888888	0.005	sim4	rep3	rd1
ENRICH2_tests	0.05160112825618052	0.1873237099717936	0.06056080968972955	0.7005143520822963	0	0.5399408284023669	0.21597222222222223	0.005	sim4	rep3	rd1
DIMSUM_tests	0	0.23743155798904927	0	0.760411481665837	0.00215696034511365	NA	0	0.005	sim4	rep3	rd1
EDGER_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0.005	sim4	rep3	rd1
LIMMA_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0.005	sim4	rep3	rd1
ROSACE_tests	0.13091090094574415	0.10801393728222997	0.01708976273436203	0.7439853990376638	0	0.11547085201793723	0.5479166666666666	0.01	sim4	rep3	rd1
SLR_tests	4.977600796416127e-4	0.2384270781483325	3.318400530944085e-4	0.7607433217189314	0	0.4	0.00208333333333333	0.01	sim4	rep3	rd1
ENRICH2_tests	0.05574912891986063	0.1831757093081135	0.06686577069852331	0.6942093910735025	0	0.5453315290933695	0.23333333333333336	0.01	sim4	rep3	rd1
DIMSUM_tests	0	0.23743155798904927	0	0.760411481665837	0.00215696034511365	NA	0	0.01	sim4	rep3	rd1
EDGER_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0.01	sim4	rep3	rd1
LIMMA_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0.01	sim4	rep3	rd1
ROSACE_tests	0.16658370665339306	0.07234113157458105	0.05259664841546375	0.7084785133565621	0	0.23996971990915977	0.6972222222222222	0.05	sim4	rep3	rd1
SLR_tests	0.00514352082296333	0.2337813174050108	0.00547536087605774	0.7555998008959681	0	0.515625	0.02152777777777777	0.05	sim4	rep3	rd1
ENRICH2_tests	0.07101377136220342	0.1679110668657707	0.085780653724904593	0.6752945080471213	0	0.5470899470899471	0.2972222222222223	0.05	sim4	rep3	rd1
DIMSUM_tests	0	0.23743155798904927	0	0.760411481665837	0.00215696034511365	NA	0	0.05	sim4	rep3	rd1
EDGER_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0.05	sim4	rep3	rd1
LIMMA_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0.05	sim4	rep3	rd1
ROSACE_tests	0	0.24888003982080636	0	0.7511199601791936	0	NA	0	0	sim5	rep3	rd1
SLR_tests	0	0.24888003982080636	0	0.7511199601791936	0	NA	0	0	sim5	rep3	rd1
ENRICH2_tests	0	0.24888003982080636	0	0.7511199601791936	0	NA	0	0	sim5	rep3	rd1
