test	num_na	corr_pearson	corr_spearman	sim	rep	rd
ROSACE_effects	0	0.735868942152476	0.6690553060311052	sim3	rep3	rd1
SLR_effects	0	0.5647755773152531	0.5316950259413679	sim3	rep3	rd1
ENRICH2_effects	0	0.5682937705564302	0.5330432641785474	sim3	rep3	rd1
DIMSUM_effects	7	0.48542485714193506	0.4609940412887026	sim3	rep3	rd1
EDGER_effects	0	0.5548123688811016	0.5213881843025857	sim3	rep3	rd1
LIMMA_effects	0	0.5647562315543935	0.5315759490543868	sim3	rep3	rd1
ROSACE_effects	0	0.7294979462680722	0.6527563074171429	sim4	rep3	rd1
SLR_effects	0	0.5620533786958013	0.5246908544103902	sim4	rep3	rd1
ENRICH2_effects	0	0.5648249002013421	0.5269631672612766	sim4	rep3	rd1
DIMSUM_effects	13	0.4836978833217474	0.4591903724707974	sim4	rep3	rd1
EDGER_effects	0	0.5508703102659529	0.5173449914270961	sim4	rep3	rd1
LIMMA_effects	0	0.5619089444392046	0.5245574119476599	sim4	rep3	rd1
ROSACE_effects	0	0.7324684368806759	0.6682016160017457	sim5	rep3	rd1
SLR_effects	0	0.5643348334729907	0.5331326904477853	sim5	rep3	rd1
ENRICH2_effects	0	0.5642918994384615	0.5326924703349327	sim5	rep3	rd1
DIMSUM_effects	7	0.4799487608362995	0.44997519696625426	sim5	rep3	rd1
EDGER_effects	0	0.5471732844327799	0.5167636586210907	sim5	rep3	rd1
LIMMA_effects	0	0.5642067713109441	0.5331252932806805	sim5	rep3	rd1
ROSACE_effects	0	0.7445683242879052	0.6938103978657518	sim6	rep3	rd1
SLR_effects	0	0.5815138846999139	0.5523118002126766	sim6	rep3	rd1
ENRICH2_effects	0	0.585413302359276	0.5570529536184765	sim6	rep3	rd1
DIMSUM_effects	13	0.509278890482656	0.48676265657984674	sim6	rep3	rd1
EDGER_effects	0	0.564927638911125	0.5390974900550137	sim6	rep3	rd1
LIMMA_effects	0	0.5816583720184924	0.5525262801980672	sim6	rep3	rd1
ROSACE_effects	0	0.729483142897174	0.664066764586288	sim7	rep3	rd1
SLR_effects	0	0.5596192242966975	0.5284532503056598	sim7	rep3	rd1
ENRICH2_effects	0	0.5613185606381913	0.5286227989262186	sim7	rep3	rd1
DIMSUM_effects	8	0.46981511715136337	0.4461631378829029	sim7	rep3	rd1
EDGER_effects	0	0.5395881511642467	0.5082652866323859	sim7	rep3	rd1
LIMMA_effects	0	0.557375103293542	0.5267408382559174	sim7	rep3	rd1
ROSACE_effects	0	0.7484985816479093	0.7017170127591958	sim8	rep3	rd1
SLR_effects	0	0.5852631263904559	0.5595502683701573	sim8	rep3	rd1
ENRICH2_effects	0	0.5907051222079005	0.5628279437668288	sim8	rep3	rd1
DIMSUM_effects	8	0.49437413921596973	0.47740880413590264	sim8	rep3	rd1
EDGER_effects	0	0.5723936250199576	0.547397320180566	sim8	rep3	rd1
LIMMA_effects	0	0.5849803874832232	0.5593742388253544	sim8	rep3	rd1
ROSACE_effects	0	0.7020347490043206	0.6309404052348732	sim9	rep3	rd1
SLR_effects	0	0.5325268850576947	0.4977993965165859	sim9	rep3	rd1
ENRICH2_effects	0	0.5386434649935963	0.5035011604053775	sim9	rep3	rd1
DIMSUM_effects	10	0.4574808934661706	0.4276166692716875	sim9	rep3	rd1
EDGER_effects	0	0.5308229223596835	0.4923133697896971	sim9	rep3	rd1
LIMMA_effects	0	0.5324041622091956	0.49804051379053127	sim9	rep3	rd1
ROSACE_effects	0	0.9286216931199852	0.7257641161586065	sim1	rep3	rd3
SLR_effects	0	0.8698730373558038	0.7155937842990479	sim1	rep3	rd3
ENRICH2_effects	0	0.8015919103272596	0.6736274663344183	sim1	rep3	rd3
EDGER_effects	0	0.8639139709525152	0.7033067998395194	sim1	rep3	rd3
LIMMA_effects	0	0.8691423086991569	0.7156295932709835	sim1	rep3	rd3
ROSACE_effects	0	0.9345175659641708	0.7560166197750885	sim10	rep3	rd3
SLR_effects	0	0.8824820671230367	0.7477094136712508	sim10	rep3	rd3
ENRICH2_effects	0	0.8126623016068854	0.7041511014836377	sim10	rep3	rd3
EDGER_effects	0	0.8747358091452304	0.7413534572452689	sim10	rep3	rd3
LIMMA_effects	0	0.8834105355300398	0.7476246702470223	sim10	rep3	rd3
ROSACE_effects	0	0.9371120786346462	0.7621116970487752	sim2	rep3	rd3
SLR_effects	0	0.8854352534920891	0.7544069259529923	sim2	rep3	rd3
ENRICH2_effects	0	0.8126233943992882	0.7099101409181758	sim2	rep3	rd3
EDGER_effects	0	0.873389012950399	0.7467127537073166	sim2	rep3	rd3
LIMMA_effects	0	0.887554463517404	0.7546749125891854	sim2	rep3	rd3
ROSACE_effects	0	0.9358171207764224	0.7522509209018888	sim3	rep3	rd3
SLR_effects	0	0.8824236490293575	0.7442481447416521	sim3	rep3	rd3
ENRICH2_effects	0	0.8134123535118827	0.6979343455808841	sim3	rep3	rd3
EDGER_effects	0	0.8767660573605959	0.7354363719996462	sim3	rep3	rd3
LIMMA_effects	0	0.8842893537830777	0.7443012914353812	sim3	rep3	rd3
ROSACE_effects	0	0.9315867346676174	0.736937346712736	sim4	rep3	rd3
SLR_effects	0	0.8767982412473102	0.7300106189980428	sim4	rep3	rd3
ENRICH2_effects	0	0.8062893165418514	0.6843390643406686	sim4	rep3	rd3
EDGER_effects	0	0.8643719061286178	0.7171800172554755	sim4	rep3	rd3
LIMMA_effects	0	0.879546805918361	0.7302801090433465	sim4	rep3	rd3
ROSACE_effects	0	0.9323646922013196	0.746517344050877	sim5	rep3	rd3
SLR_effects	0	0.875966265393819	0.7359835997424544	sim5	rep3	rd3
ENRICH2_effects	0	0.8020729538243648	0.6964495353915658	sim5	rep3	rd3
EDGER_effects	0	0.8707427990683049	0.7301508705158396	sim5	rep3	rd3
LIMMA_effects	0	0.8777537165637336	0.7360554989300949	sim5	rep3	rd3
ROSACE_effects	0	0.9342111103831724	0.7704020465678975	sim6	rep3	rd3
SLR_effects	0	0.8830764270589085	0.762439180604682	sim6	rep3	rd3
ENRICH2_effects	0	0.8120061712075735	0.7166168988561594	sim6	rep3	rd3
EDGER_effects	0	0.875612377574113	0.7558656885258206	sim6	rep3	rd3
LIMMA_effects	0	0.8851253708397451	0.762761405095144	sim6	rep3	rd3
ROSACE_effects	0	0.9313184689216992	0.7401064911328795	sim7	rep3	rd3
SLR_effects	0	0.8805118929704527	0.7330322951468408	sim7	rep3	rd3
ENRICH2_effects	0	0.8097319404476372	0.6930719771264204	sim7	rep3	rd3
EDGER_effects	0	0.8761015434169166	0.7227602909378157	sim7	rep3	rd3
LIMMA_effects	0	0.8821678727688523	0.7330837681170892	sim7	rep3	rd3
ROSACE_effects	0	0.9357052468105744	0.7823765122322177	sim8	rep3	rd3
SLR_effects	0	0.8881527493964911	0.7748277747334396	sim8	rep3	rd3
ENRICH2_effects	0	0.8132989913064824	0.7281091661845425	sim8	rep3	rd3
EDGER_effects	0	0.8798374233246716	0.7672638532047468	sim8	rep3	rd3
LIMMA_effects	0	0.8893680510463329	0.7750617991528461	sim8	rep3	rd3
ROSACE_effects	0	0.9281342590677448	0.7100181803207876	sim9	rep3	rd3
SLR_effects	0	0.8664226006536518	0.7021779490204266	sim9	rep3	rd3
ENRICH2_effects	0	0.8013740756870983	0.6636966451302629	sim9	rep3	rd3
EDGER_effects	0	0.8640172898292067	0.6905906613931567	sim9	rep3	rd3
LIMMA_effects	0	0.8665659896783459	0.7018675619827528	sim9	rep3	rd3
