test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim
ENRICH2_tests	0.12626514020242244	0.13920690227310437	0.06188816990210719	0.672639787622366	0	0.3289241622574956	0.475625	0.05	sim2
EDGER_tests	0.07864609258337481	0.186825949892152	0	0.7345279575244732	0	0	0.29624999999999996	0.05	sim2
LIMMA_tests	0.18018914883026385	0.08528289364526298	0.00248880039820806	0.7320391571262651	0	0.01362397820163487	0.67875	0.05	sim2
ROSACE_tests	0	0.25551684088269455	0	0.7444831591173054	0	NA	0	0	sim3
SLR_tests	0	0.25551684088269455	0	0.7444831591173054	0	NA	0	0	sim3
ENRICH2_tests	4.977600796416127e-4	0.2550190808030529	1.6592002654720425e-4	0.7443172390907583	0	0.25	0.00194805194805194	0	sim3
EDGER_tests	0	0.25551684088269455	0	0.7444831591173054	0	NA	0	0	sim3
LIMMA_tests	0	0.25551684088269455	0	0.7444831591173054	0	NA	0	0	sim3
ROSACE_tests	0.24871411979425917	0.00680272108843537	0.01260992201758752	0.731873237099718	0	0.04825396825396825	0.9733766233766232	0.005	sim3
SLR_tests	0.01708976273436203	0.2384270781483325	0	0.7444831591173054	0	0	0.06688311688311688	0.005	sim3
ENRICH2_tests	0.07748465239754439	0.17803218848515015	0.03052928488468558	0.7139538742326199	0	0.282642089093702	0.30324675324675326	0.005	sim3
EDGER_tests	0.00713456114152978	0.24838227974116475	0	0.7444831591173054	0	0	0.02792207792207792	0.005	sim3
LIMMA_tests	0.10087937614070018	0.15463746474199436	0	0.7444831591173054	0	0	0.3948051948051948	0.005	sim3
ROSACE_tests	0.2498755599800896	0.00564128090260494	0.01941264310602289	0.7250705160112826	0	0.07208872458410351	0.977922077922078	0.01	sim3
SLR_tests	0.03451136552181848	0.22100547536087609	1.6592002654720425e-4	0.7443172390907583	0	0.00478468899521531	0.13506493506493508	0.01	sim3
ENRICH2_tests	0.08528289364526298	0.17023394723743157	0.03583872573419611	0.7086444333831093	0	0.2958904109589041	0.33376623376623377	0.01	sim3
EDGER_tests	0.01460096233615397	0.24091587854654056	0	0.7444831591173054	0	0	0.05714285714285714	0.01	sim3
LIMMA_tests	0.12244897959183672	0.13306786129085782	0	0.7444831591173054	0	0	0.4792207792207792	0.01	sim3
ROSACE_tests	0.25286212045793927	0.00265472042475526	0.06172224987555998	0.6827609092417455	0	0.19620253164556964	0.9896103896103896	0.05	sim3
SLR_tests	0.11249377799900448	0.14302306288369007	0.00215696034511365	0.7423261987721919	0	0.01881331403762663	0.44025974025974024	0.05	sim3
ENRICH2_tests	0.11979425916708146	0.13572258171561308	0.05906752945080471	0.6854156296665007	0	0.3302411873840445	0.4688311688311688	0.05	sim3
EDGER_tests	0.0741662518666003	0.18135058901609424	0	0.7444831591173054	0	0	0.2902597402597402	0.05	sim3
LIMMA_tests	0.17222498755599802	0.08329185332669653	0.00165920026547204	0.7428239588518334	0	0.00954198473282442	0.6740259740259741	0.05	sim3
ROSACE_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0	sim4
SLR_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0	sim4
ENRICH2_tests	1.6592002654720425e-4	0.23875891820142692	0	0.7610751617720258	0	0	6.944444444444445e-4	0	sim4
EDGER_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0	sim4
LIMMA_tests	0	0.2389248382279741	0	0.7610751617720258	0	NA	0	0	sim4
ROSACE_tests	0.23344947735191637	0.00547536087605774	0.0117803218848515	0.7492948398871744	0	0.04803788903924221	0.9770833333333332	0.005	sim4
SLR_tests	0.00862784138045462	0.2302969968475195	0	0.7610751617720258	0	0	0.03611111111111111	0.005	sim4
ENRICH2_tests	0.07151153144184504	0.1674133067861291	0.03334992533598805	0.7277252364360378	0	0.3180379746835443	0.2993055555555556	0.005	sim4
EDGER_tests	0.00282064045130247	0.23610419777667163	0	0.7610751617720258	0	0	0.01180555555555555	0.005	sim4
LIMMA_tests	0.094242575078812	0.1446822631491621	0	0.7610751617720258	0	0	0.3944444444444444	0.005	sim4
ROSACE_tests	0.23527459764393563	0.00365024058403849	0.01941264310602289	0.741662518666003	0	0.0762214983713355	0.9847222222222224	0.01	sim4
SLR_tests	0.03003152480504397	0.20889331342293016	1.6592002654720425e-4	0.7609092417454787	0	0.00549450549450549	0.12569444444444444	0.01	sim4
ENRICH2_tests	0.07997345279575245	0.15895138543222168	0.03882528621204579	0.7222498755599801	0	0.3268156424581005	0.33472222222222225	0.01	sim4
EDGER_tests	0.01742160278745644	0.22150323544051767	0	0.7610751617720258	0	0	0.07291666666666666	0.01	sim4
LIMMA_tests	0.11149825783972124	0.12742658038825286	1.6592002654720425e-4	0.7609092417454787	0	0.00148588410104011	0.4666666666666667	0.01	sim4
ROSACE_tests	0.23726563796250208	0.00165920026547204	0.0589016094242575	0.7021735523477683	0	0.19887955182072828	0.9930555555555556	0.05	sim4
