test	num_na	corr_pearson	corr_spearman	sim	rep	rd	mode
DIMSUM_effects	48	0.468132372169812	0.18221660098101664	sim6	rep3	rd1	nopos
ENRICH2_effects	0	0.7940556219532574	0.3186578529856194	sim7	rep3	rd1	nopos
ROSACE_effects	0	0.8368289144404951	0.3186685927423378	sim7	rep3	rd1	nopos
ROSACENP_effects	0	0.7879523809179807	0.3186613241529243	sim7	rep3	rd1	nopos
SLR_effects	0	0.8008589547133207	0.3186702304495492	sim7	rep3	rd1	nopos
EDGER_effects	0	0.810768379043449	0.3183357861908506	sim7	rep3	rd1	nopos
LIMMA_effects	0	0.7958146514332908	0.3186661766187358	sim7	rep3	rd1	nopos
DIMSUM_effects	54	0.5251672103760798	0.18758309688240277	sim7	rep3	rd1	nopos
ENRICH2_effects	0	0.7719746633530186	0.3055078225638914	sim8	rep3	rd1	nopos
ROSACE_effects	0	0.811847562236276	0.30520266233133186	sim8	rep3	rd1	nopos
ROSACENP_effects	0	0.7522012135149335	0.30499763302472355	sim8	rep3	rd1	nopos
SLR_effects	0	0.7832238410471026	0.30550737399758615	sim8	rep3	rd1	nopos
EDGER_effects	0	0.7856658378937537	0.30505975466562824	sim8	rep3	rd1	nopos
LIMMA_effects	0	0.7762549774519448	0.3055251585014201	sim8	rep3	rd1	nopos
DIMSUM_effects	46	0.47790722016184456	0.20119775765419703	sim8	rep3	rd1	nopos
ENRICH2_effects	0	0.7640059757481356	0.2952588081034381	sim9	rep3	rd1	nopos
ROSACE_effects	0	0.8056254498429504	0.29521722295831526	sim9	rep3	rd1	nopos
ROSACENP_effects	0	0.7465884785412358	0.29527646750786735	sim9	rep3	rd1	nopos
SLR_effects	0	0.7740409504645195	0.2952940743456898	sim9	rep3	rd1	nopos
EDGER_effects	0	0.7841337529434799	0.2940060417210951	sim9	rep3	rd1	nopos
LIMMA_effects	0	0.76555016971153	0.2952869183444004	sim9	rep3	rd1	nopos
DIMSUM_effects	46	0.508326355760644	0.19073679679453912	sim9	rep3	rd1	nopos
ENRICH2_effects	0	0.7501811982069703	0.2944858698149237	sim1	rep3	rd3	nopos
ROSACE_effects	0	0.7908164103614324	0.2969440524859806	sim1	rep3	rd3	nopos
ROSACENP_effects	0	0.6974969329818749	0.2970437343364136	sim1	rep3	rd3	nopos
SLR_effects	0	0.7973557086052989	0.29704641628855	sim1	rep3	rd3	nopos
EDGER_effects	0	0.8086519630380485	0.2955758940440872	sim1	rep3	rd3	nopos
LIMMA_effects	0	0.8013135966018178	0.2970574753970653	sim1	rep3	rd3	nopos
DIMSUM_effects	1	0.35172649110155124	0.2238572931864309	sim1	rep3	rd3	nopos
ENRICH2_effects	0	0.7703624820990332	0.29721762598708235	sim10	rep3	rd3	nopos
ROSACE_effects	0	0.8170450683778443	0.29550121420435416	sim10	rep3	rd3	nopos
ROSACENP_effects	0	0.6999623709339131	0.2957048291263012	sim10	rep3	rd3	nopos
SLR_effects	0	0.7953264526137226	0.2961371737968492	sim10	rep3	rd3	nopos
EDGER_effects	0	0.813856033218764	0.2970477246160617	sim10	rep3	rd3	nopos
LIMMA_effects	0	0.8076263867962422	0.29619650131137726	sim10	rep3	rd3	nopos
DIMSUM_effects	0	0.3987151060079351	0.25190588179752055	sim10	rep3	rd3	nopos
ENRICH2_effects	0	0.7423835979806248	0.28325753612336363	sim2	rep3	rd3	nopos
ROSACE_effects	0	0.7662673157109338	0.2837218176729322	sim2	rep3	rd3	nopos
ROSACENP_effects	0	0.6655948064344771	0.2830652184902663	sim2	rep3	rd3	nopos
SLR_effects	0	0.7688376067049766	0.28493425359127494	sim2	rep3	rd3	nopos
EDGER_effects	0	0.7903453987631563	0.2841255914436414	sim2	rep3	rd3	nopos
LIMMA_effects	0	0.7856159883650347	0.2847570536997219	sim2	rep3	rd3	nopos
DIMSUM_effects	3	0.35321942856724914	0.17861827513268028	sim2	rep3	rd3	nopos
ENRICH2_effects	0	0.7669831920680046	0.29095566483457086	sim3	rep3	rd3	nopos
ROSACE_effects	0	0.807444862491623	0.2986071106320104	sim3	rep3	rd3	nopos
ROSACENP_effects	0	0.6909025545923563	0.298760201111181	sim3	rep3	rd3	nopos
SLR_effects	0	0.7926100591594353	0.2987990947548748	sim3	rep3	rd3	nopos
EDGER_effects	0	0.8092277047833333	0.2972156994741562	sim3	rep3	rd3	nopos
LIMMA_effects	0	0.8093154185170791	0.2988085468660909	sim3	rep3	rd3	nopos
DIMSUM_effects	0	0.39854788494974513	0.23808048509036475	sim3	rep3	rd3	nopos
ENRICH2_effects	0	0.7404421334820036	0.2754416002544618	sim4	rep3	rd3	nopos
