test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd	mode
ROSACENP_tests	0.14961086272561683	0.04843517138599106	0.36951482033449246	0.4324391455538997	0	0.7118022328548644	0.7554347826086957	0.1	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim1	rep1	rd1	nopos
DIMSUM_tests	0.1979632389468455	8.279516476237788e-5	0.522354694485842	0.2787713197549263	8.279516476237788e-4	0.7251724137931034	0.9995819397993312	0.1	sim1	rep1	rd1	nopos
ENRICH2_tests	0.19506540818016227	3.311806590495115e-4	0.3125517469779765	0.4920516641828117	0	0.6157233730223455	0.9983050847457626	0.005	sim10	rep1	rd1	nopos
ROSACE_tests	0.18835899983440968	0.00703758900480212	0.16848816029143898	0.6361152508693493	0	0.47215777262180975	0.9639830508474576	0.005	sim10	rep1	rd1	nopos
ROSACENP_tests	0.07699950322901143	0.11839708561020036	0.1736214605067064	0.6309819506540818	0	0.6927651139742319	0.3940677966101695	0.005	sim10	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim10	rep1	rd1	nopos
DIMSUM_tests	0.19506540818016227	3.311806590495115e-4	0.3452558370591157	0.4584368272892863	9.107468123861566e-4	0.6389825314128103	0.9983050847457626	0.005	sim10	rep1	rd1	nopos
ENRICH2_tests	0.19514820334492464	2.4838549428713363e-4	0.34757410167246233	0.4570293094883259	0	0.6404271548436308	0.998728813559322	0.01	sim10	rep1	rd1	nopos
ROSACE_tests	0.19109124027156815	0.00430534856764365	0.1993707567478059	0.6052326544129822	0	0.5106022052586938	0.9779661016949152	0.01	sim10	rep1	rd1	nopos
ROSACENP_tests	0.09148865706242756	0.10390793177678424	0.20491803278688525	0.599685378373903	0	0.6913407821229051	0.4682203389830508	0.01	sim10	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim10	rep1	rd1	nopos
DIMSUM_tests	0.19514820334492464	2.4838549428713363e-4	0.3789534691174035	0.4247391952309985	9.107468123861566e-4	0.6600807614652436	0.998728813559322	0.01	sim10	rep1	rd1	nopos
ENRICH2_tests	0.19514820334492464	2.4838549428713363e-4	0.4390627587348898	0.36554065242589834	0	0.6922976501305483	0.998728813559322	0.05	sim10	rep1	rd1	nopos
ROSACE_tests	0.19407186620301375	0.00132472263619804	0.2995529061102832	0.5050505050505051	0	0.6068433411606844	0.9932203389830508	0.05	sim10	rep1	rd1	nopos
ROSACENP_tests	0.13189269746646795	0.06350389137274383	0.30311309819506543	0.5014903129657228	0	0.6968024362390559	0.6749999999999999	0.05	sim10	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim10	rep1	rd1	nopos
DIMSUM_tests	0.19514820334492464	2.4838549428713363e-4	0.471518463321742	0.33217420102666007	9.107468123861566e-4	0.707277694982613	0.998728813559322	0.05	sim10	rep1	rd1	nopos
ENRICH2_tests	0.19514820334492464	2.4838549428713363e-4	0.4921344593475741	0.3124689518132141	0	0.7160583062281652	0.998728813559322	0.1	sim10	rep1	rd1	nopos
ROSACE_tests	0.19473422752111277	6.62361318099023e-4	0.36462990561351216	0.439973505547276	0	0.6518650088809946	0.9966101694915256	0.1	sim10	rep1	rd1	nopos
ROSACENP_tests	0.15325384997516145	0.04214273886405034	0.368107302533532	0.4364961086272562	0	0.7060505002382087	0.784322033898305	0.1	sim10	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim10	rep1	rd1	nopos
