test	num_na	corr_pearson	corr_spearman	sim	rep	rd	mode
ROSACENP_effects	0	0.9201737826037268	0.6827492430843243	sim9	rep3	rd1	nopos
SLR_effects	0	0.9126192293476452	0.6826817154122826	sim9	rep3	rd1	nopos
EDGER_effects	0	0.9154985514057354	0.6826998077663411	sim9	rep3	rd1	nopos
LIMMA_effects	0	0.9126249971299892	0.6826825153411247	sim9	rep3	rd1	nopos
DIMSUM_effects	0	0.9124477288427612	0.6826433844218894	sim9	rep3	rd1	nopos
ENRICH2_effects	0	0.8783970664826345	0.691788045191012	sim1	rep3	rd3	nopos
ROSACE_effects	0	0.8802966218530719	0.6927566501312485	sim1	rep3	rd3	nopos
ROSACENP_effects	0	0.8788745648203342	0.6928239796072733	sim1	rep3	rd3	nopos
SLR_effects	0	0.8249050906438876	0.6926254674196256	sim1	rep3	rd3	nopos
EDGER_effects	0	0.8688024617817824	0.6926041855622642	sim1	rep3	rd3	nopos
LIMMA_effects	0	0.8675848483389896	0.6926903721519859	sim1	rep3	rd3	nopos
DIMSUM_effects	0	0.6816102937978668	0.6304008646627508	sim1	rep3	rd3	nopos
ENRICH2_effects	0	0.8758260721557636	0.6884686955212128	sim10	rep3	rd3	nopos
ROSACE_effects	0	0.8777230335246262	0.6892404882281287	sim10	rep3	rd3	nopos
ROSACENP_effects	0	0.8764152992142701	0.6893381163680206	sim10	rep3	rd3	nopos
SLR_effects	0	0.8226335444130729	0.6892522441043984	sim10	rep3	rd3	nopos
EDGER_effects	0	0.8681486063158497	0.6891798685819918	sim10	rep3	rd3	nopos
LIMMA_effects	0	0.8638438265098147	0.6892558832288531	sim10	rep3	rd3	nopos
DIMSUM_effects	0	0.6772118796744624	0.623345328773306	sim10	rep3	rd3	nopos
ENRICH2_effects	0	0.8645836743923149	0.6629049077722932	sim2	rep3	rd3	nopos
ROSACE_effects	0	0.8668840687289496	0.6636767776139465	sim2	rep3	rd3	nopos
ROSACENP_effects	0	0.8648973342222105	0.6637491735123255	sim2	rep3	rd3	nopos
SLR_effects	0	0.809170619674775	0.663658814472401	sim2	rep3	rd3	nopos
EDGER_effects	0	0.8589943858100516	0.6637223555993395	sim2	rep3	rd3	nopos
LIMMA_effects	0	0.8510401554687352	0.663693930600066	sim2	rep3	rd3	nopos
DIMSUM_effects	0	0.6619330939376952	0.6005546736149057	sim2	rep3	rd3	nopos
ENRICH2_effects	0	0.8757298315698083	0.6826652385062002	sim3	rep3	rd3	nopos
ROSACE_effects	0	0.8763148143384291	0.6835422400060747	sim3	rep3	rd3	nopos
ROSACENP_effects	0	0.8751575868094293	0.6836610302781443	sim3	rep3	rd3	nopos
SLR_effects	0	0.8203969025544778	0.6835395238000058	sim3	rep3	rd3	nopos
EDGER_effects	0	0.8645073741467775	0.6834245220994676	sim3	rep3	rd3	nopos
LIMMA_effects	0	0.8674140976265966	0.6835484885887395	sim3	rep3	rd3	nopos
DIMSUM_effects	0	0.6776580045423276	0.6194632353315466	sim3	rep3	rd3	nopos
ENRICH2_effects	0	0.8749005137644168	0.6928026129259576	sim4	rep3	rd3	nopos
ROSACE_effects	0	0.8753668573808576	0.6935560931360629	sim4	rep3	rd3	nopos
ROSACENP_effects	0	0.8745436484901877	0.6936464808096128	sim4	rep3	rd3	nopos
SLR_effects	0	0.8205442834537113	0.6935102091959642	sim4	rep3	rd3	nopos
EDGER_effects	0	0.864809469984434	0.6935889092618045	sim4	rep3	rd3	nopos
LIMMA_effects	0	0.8627138678175842	0.6935446294476533	sim4	rep3	rd3	nopos
DIMSUM_effects	0	0.6779832741916869	0.6245010521648791	sim4	rep3	rd3	nopos
ENRICH2_effects	0	0.8731133001398905	0.6867180160601918	sim5	rep3	rd3	nopos
ROSACE_effects	0	0.8758631710951144	0.6877103680847925	sim5	rep3	rd3	nopos
ROSACENP_effects	0	0.8748650744814446	0.6878055864252655	sim5	rep3	rd3	nopos
SLR_effects	0	0.8212854764068674	0.6877055191729448	sim5	rep3	rd3	nopos
