test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim
ENRICH2_tests	0.19464080223573896	0.02112444517507808	0.13948709518329772	0.6447476574058852	0	0.41746617466174657	0.9020952380952382	0.05	sim1
EDGER_tests	0.06427749465724149	0.15148775275357554	0.010603320729903	0.77363143185928	0	0.141602634467618	0.2979047619047619	0.05	sim1
LIMMA_tests	0.12107512740424133	0.0946901200065757	0.04364622719053099	0.7405885253986519	0	0.26497005988023953	0.561142857142857	0.05	sim1
ROSACE_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim10
SLR_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim10
ENRICH2_tests	0.00386322538221272	0.1825579483807332	3.287851389117212e-4	0.8132500410981424	0	0.0784313725490196	0.02072310405643739	0	sim10
EDGER_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim10
LIMMA_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim10
ROSACE_tests	0.18009205983889529	0.00632911392405063	0.08014137760973204	0.7334374486273221	0	0.30795957043588124	0.9660493827160492	0.005	sim10
SLR_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0.005	sim10
ENRICH2_tests	0.15074798619102417	0.03567318757192175	0.08499095840867993	0.7285878678283741	0	0.36052998605299863	0.8086419753086419	0.005	sim10
EDGER_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0.005	sim10
LIMMA_tests	0.08663488410323854	0.0997862896597074	0.00197271083347032	0.8116061154035837	0	0.0222634508348794	0.46472663139329806	0.005	sim10
ROSACE_tests	0.1820647706723656	0.0043564030905803	0.09773138254150912	0.715847443695545	0	0.34929494712103404	0.97663139329806	0.01	sim10
SLR_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0.01	sim10
ENRICH2_tests	0.15510438928160447	0.03131678448134144	0.09592306427749464	0.7176557619595594	0	0.38212180746561886	0.832010582010582	0.01	sim10
EDGER_tests	0.02038467861252671	0.1660364951504192	0	0.8135788262370541	0	0	0.109347442680776	0.01	sim10
LIMMA_tests	0.09460792372184776	0.09181325004109814	0.00419201052112444	0.8093868157159296	0	0.04242928452579034	0.5074955908289241	0.01	sim10
ROSACE_tests	0.1844484629294756	0.00197271083347032	0.16652967285878678	0.6470491533782673	0	0.4744730679156909	0.9894179894179894	0.05	sim10
